gain,noise_std,analytic_information,mean_connected_influence,mean_yoked_influence,mean_connected_loss_advantage,mean_yoked_loss_advantage,mean_connected_aware_mse,mean_yoked_aware_mse,mean_clipped_fraction,absolute_calibration_error,relative_calibration,roc_auc,median_detection_latency,median_recovery_latency,detection_censor_fraction,recovery_censor_fraction,n_seeds
0.1,0.1,0.34657359027997287,0.10135190437644853,-0.04630453871993347,0.10849194148498778,-0.04415570362709846,0.02265084491700232,0.02337959808240321,0.0,0.23808164879498508,0.31304157191361476,0.999882962962963,20.5,453.0,0.0,0.0,30
0.25,0.1,0.9905007344332913,0.7030786874771909,-0.0018608976810501007,0.7557652709165179,-0.0016111503977794238,0.016947265819576524,0.07260383094970925,0.0,0.23473546351677343,0.7630133372378811,1.0,45.5,414.5,0.0,0.0,30
0.5,0.1,1.6290482690107406,1.5314150339055799,-0.0011182219274996393,1.5798175312791736,-0.0007620885940832285,0.010989613888721366,0.2589910008605208,0.0002222222222222222,0.049230737731567054,0.9697794481182175,1.0,56.5,527.5,0.0,0.0,30
0.75,0.1,2.0237138212171737,1.9350394196013803,-0.0013509307200743985,1.9854974130905891,-0.0006648102872534963,0.010713365644284859,0.5703104602217103,0.00039999999999999996,0.038216408126584556,0.9811157053305101,1.0,68.5,635.0,0.0,0.0,30
1.0,0.1,2.3075602584206303,2.1471229394105893,-0.001852891124166684,2.223499338974903,-0.0007227613876353986,0.011718959509209663,1.0074621067862652,0.0004,0.08406091944572713,0.9635715170865089,1.0,75.0,748.5,0.0,0.0,30
0.1,0.2,0.11157177565710487,0.03319617250837124,-0.0057454689281123145,0.04267422810065843,-0.005068948801299353,0.050729559144407396,0.05148601388932081,0.0,0.06889754755644645,0.382482288637314,0.8462847407407408,32.5,284.0,0.0,0.0,30
0.25,0.2,0.4704916722322634,0.39742544879927544,-0.0010950393264404406,0.41708230588388406,-0.0010335783730524508,0.04549232905103786,0.103343894717213,4.444444444444444e-05,0.05340936634837934,0.8864818029722464,1.0,49.5,344.0,0.0,0.0,30
0.5,0.2,0.9905007344332913,0.9565529999715987,-0.0010693358486150984,0.9715662845739172,-0.0007433343175086778,0.04162718002068515,0.2900960978754522,4.444444444444444e-05,0.018934449859374092,0.9808839618173455,1.0,50.0,430.0,0.0,0.0,30
0.75,0.2,1.3561041056254364,1.3224018712528958,-0.0013310317651224412,1.3389546444771758,-0.0006512714363980266,0.04150284048200041,0.6017286564601589,0.00013333333333333334,0.017149461148260547,0.9873538756522301,1.0,54.5,526.0,0.0,0.0,30
1.0,0.2,1.6290482690107406,1.5704914221638304,-0.0018457113618485766,1.5994555692262387,-0.0007144746927017743,0.04258226838306435,1.0392386136563003,8.888888888888888e-05,0.029592699784501963,0.9818343628316966,1.0,56.5,616.0,0.0,0.0,30
0.1,0.4,0.030312310908217413,0.019134955558920783,-0.0004158832738520389,0.023156613344675874,-0.00036727756368413133,0.16604303247340402,0.17341500664012036,0.0,0.007155697563541539,0.7639342778843796,0.8610492444444445,52.5,255.0,0.0,0.0,30
0.25,0.4,0.16487664318623396,0.15104971489165486,-0.0007379321811904155,0.1554340138467902,-0.0006848816807444128,0.16523695037420388,0.22620259058270223,0.0,0.009442629339443759,0.9427291267157958,1.0,57.5,295.0,0.0,0.0,30
0.5,0.4,0.4704916722322634,0.45563268964059667,-0.0010656636449676493,0.45960381863775973,-0.0007640228704239063,0.16441851155399181,0.41362124149117824,4.444444444444444e-05,0.010887853594503671,0.9768585625695649,1.0,54.0,368.5,0.0,0.0,30
0.75,0.4,0.7537718023763803,0.7367049779322806,-0.0013389331658894793,0.7416508401028827,-0.0006754247357121587,0.16470530665952346,0.7259369179648647,4.444444444444444e-05,0.01212096227349757,0.9839195864911842,1.0,50.0,431.5,0.0,0.0,30
1.0,0.4,0.9905007344332913,0.9659407895579951,-0.001840381725322526,0.9749091627788266,-0.000722236080634418,0.16606280538432236,1.1642850118907677,4.444444444444444e-05,0.015591571654464786,0.984258899451109,1.0,50.0,511.5,0.0,0.0,30
0.1,0.8,0.0077520932679826255,0.005802029307038172,7.33361712225461e-05,0.006533618003697681,0.00017936846245395586,0.6571000140996317,0.6638501936006378,0.0,0.0012184752642849447,0.8428198394725924,0.7390526222222223,39.5,235.5,0.0,0.0,30
0.25,0.8,0.046588612427091634,0.042276922403846,-0.0002236482701925352,0.043373879678614294,-8.61109728260251e-05,0.6572679848191724,0.7175012832058162,0.0,0.0032147327484773405,0.9309974566529922,0.9947822814814813,52.5,297.5,0.0,0.0,30
0.5,0.8,0.16487664318623396,0.15657194681112413,-0.0008975099714992697,0.15821448396259863,-0.0005432645833968543,0.6574609894148882,0.9067981876752759,0.0,0.006662159223635333,0.9595930685214752,1.0,57.5,344.0,0.0,0.0,30
0.75,0.8,0.31534491281309934,0.3040127620943252,-0.001521838820950523,0.3063503233672138,-0.0008118072203447114,0.658324169102876,1.2211776023070917,0.0,0.008994589445885548,0.9714769793948872,1.0,54.0,390.5,0.0,0.0,30
1.0,0.8,0.4704916722322634,0.4558144565081418,-0.00219610442309786,0.459483596577051,-0.0010661554713507246,0.6606793105967443,1.6615536997963776,4.444444444444444e-05,0.01100807565521239,0.9766030382578629,1.0,50.0,433.0,0.0,0.0,30
0.1,1.2,0.0034602214222868907,0.0026573943849031783,0.0004145589851174118,0.0030185543620140382,0.0005423152002461838,1.4812650990504506,1.483611658747471,0.0,0.00044166706027285244,0.8723587290026802,0.6206117925925927,37.0,155.5,0.0,0.0,30
0.25,1.2,0.021243636919658162,0.018850448091482053,0.0002000160315486273,0.019485120206291853,0.00034278389640307263,1.4820033330878233,1.5380533532847365,0.0,0.0017585167133663086,0.9172214851902767,0.932309748148148,49.5,277.0,0.0,0.0,30
0.5,1.2,0.08004270767353641,0.07452964688073288,-0.0003536036853123759,0.07570804532347074,-1.5663192735859813e-05,1.4830668133196823,1.729352977336103,0.0,0.004334662350065674,0.9458456307132299,0.9999792,52.5,338.5,0.0,0.0,30
0.75,1.2,0.16487664318623396,0.1561214317248966,-0.0013219925635703726,0.1579583520938639,-0.0006434124458686918,1.4842452212858066,2.0468712310958708,0.0,0.006918291092370049,0.9580395927605367,1.0,56.5,371.0,0.0,0.0,30
1.0,1.2,0.2636774628586007,0.2518662936709456,-0.0023032339448700455,0.2545295829220008,-0.0011804395296139678,1.4876095176297435,2.490825562059079,0.0,0.009147879936599934,0.9653065535543871,1.0,54.0,434.5,0.0,0.0,30
